text,topic,source_type,source_credibility,article_length,contradiction_score,semantic_similarity,readability_score,sentiment,trust_score
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Government Website,8,420,0.86,0.62,60.96,Positive,64.51
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Research Paper,9,2834,0.51,0.51,59.91,Neutral,82.84
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,News Article,6,2801,0.53,0.66,68.47,Positive,66.19
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Government Website,8,3933,0.56,0.78,92.45,Negative,81.65
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Social Media Post,3,4583,0.54,0.68,55.79,Positive,36.19
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Government Website,8,371,0.76,0.77,41.46,Positive,71.58
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Educational Website,7,218,0.65,0.57,87.42,Neutral,66.84
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,News Article,6,1360,0.11,0.45,95.48,Negative,68.37
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Blog,4,2308,0.41,0.71,65.81,Neutral,48.81
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Government Website,8,1006,0.06,0.68,47.83,Negative,81.66
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Government Website,8,2305,0.44,0.97,46.37,Neutral,80.51
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Government Website,8,356,0.41,0.75,98.35,Negative,91.49
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Government Website,8,2539,0.93,0.92,34.13,Neutral,70.03
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Social Media Post,3,425,0.88,0.68,69.27,Neutral,30.03
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Government Website,8,939,0.73,0.44,87.48,Neutral,67.32
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,News Article,6,3744,0.29,0.81,96.19,Positive,73.76
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Social Media Post,3,4175,0.6,0.48,53.21,Positive,33.04
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,News Article,6,2029,0.6,0.55,78.13,Neutral,64.45
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Government Website,8,814,0.7,0.96,87.33,Negative,85.26
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Research Paper,9,3665,0.51,0.63,68.23,Positive,83.44
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Government Website,8,686,0.66,0.59,81.59,Neutral,75.02
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Government Website,8,4876,0.46,0.95,36.31,Negative,74.46
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Research Paper,9,333,0.51,0.7,51.83,Neutral,84.65
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Social Media Post,3,910,0.38,0.75,55.08,Neutral,39.38
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Educational Website,7,3102,0.1,0.59,53.37,Negative,75.44
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Government Website,8,1497,0.65,0.92,90.07,Neutral,87.25
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Blog,4,439,0.02,0.51,42.57,Neutral,48.17
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Social Media Post,3,1714,0.67,0.9,60.79,Positive,36.85
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Blog,4,3704,0.27,0.4,64.92,Negative,48.1
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,News Article,6,4367,0.89,0.58,88.44,Positive,57.58
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Blog,4,4666,0.2,0.55,83.52,Positive,51.36
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Research Paper,9,4725,0.62,0.61,88.93,Neutral,86.08
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Social Media Post,3,992,0.49,0.98,73.06,Positive,42.15
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Social Media Post,3,2668,0.23,0.67,50.09,Positive,41.23
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Research Paper,9,3492,0.47,0.6,46.88,Negative,78.6
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Social Media Post,3,2138,0.5,0.97,89.84,Neutral,47.53
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Blog,4,476,0.46,0.94,42.67,Neutral,52.82
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Social Media Post,3,1525,0.75,0.9,31.0,Positive,28.23
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Educational Website,7,1314,0.75,0.78,34.65,Neutral,58.76
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Social Media Post,3,4454,0.14,0.95,32.84,Positive,44.9
